GEOID,INDX,MSA,GINI,GINI_ERR
310M200US11860,11860,"Atchison, KS Micro Area",0.4513,0.0414
310M200US11900,11900,"Athens, OH Micro Area",0.4973,0.0145
310M200US11940,11940,"Athens, TN Micro Area",0.4529,0.0279
310M200US11980,11980,"Athens, TX Micro Area",0.4595,0.0198
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",0.5061,0.0087
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",0.4699,0.0019
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",0.4505,0.0065
310M200US12140,12140,"Auburn, IN Micro Area",0.4077,0.021
310M200US12180,12180,"Auburn, NY Micro Area",0.4122,0.0097
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",0.4937,0.0117
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",0.4659,0.0057
310M200US12300,12300,"Augusta-Waterville, ME Micro Area",0.4312,0.0092
310M200US12380,12380,"Austin, MN Micro Area",0.4419,0.0159
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",0.4649,0.0035
310M200US12460,12460,"Bainbridge, GA Micro Area",0.5228,0.0294
310M200US12540,12540,"Bakersfield, CA Metro Area",0.4562,0.0048
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",0.4524,0.0028
310M200US12620,12620,"Bangor, ME Metro Area",0.4421,0.0087
310M200US12660,12660,"Baraboo, WI Micro Area",0.4061,0.0109
310M200US12680,12680,"Bardstown, KY Micro Area",0.4454,0.0235
310M200US12700,12700,"Barnstable Town, MA Metro Area",0.4602,0.0083
310M200US12740,12740,"Barre, VT Micro Area",0.4179,0.0132
310M200US12780,12780,"Bartlesville, OK Micro Area",0.455,0.0142
310M200US12820,12820,"Bastrop, LA Micro Area",0.519,0.0558
310M200US12860,12860,"Batavia, NY Micro Area",0.4107,0.0199
310M200US12900,12900,"Batesville, AR Micro Area",0.4578,0.0205
310M200US12940,12940,"Baton Rouge, LA Metro Area",0.4652,0.0054
310M200US12980,12980,"Battle Creek, MI Metro Area",0.4452,0.0104
310M200US13020,13020,"Bay City, MI Metro Area",0.4349,0.0127
310M200US13060,13060,"Bay City, TX Micro Area",0.4746,0.0187
310M200US13100,13100,"Beatrice, NE Micro Area",0.416,0.0158
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",0.4769,0.0075
310M200US13180,13180,"Beaver Dam, WI Micro Area",0.3879,0.0082
310M200US13220,13220,"Beckley, WV Metro Area",0.4493,0.0125
310M200US13260,13260,"Bedford, IN Micro Area",0.4191,0.0194
310M200US13300,13300,"Beeville, TX Micro Area",0.473,0.0318
310M200US13340,13340,"Bellefontaine, OH Micro Area",0.4165,0.0203
310M200US13380,13380,"Bellingham, WA Metro Area",0.4399,0.0117
310M200US13420,13420,"Bemidji, MN Micro Area",0.4422,0.0128
310M200US13460,13460,"Bend-Redmond, OR Metro Area",0.4651,0.0146
310M200US13500,13500,"Bennettsville, SC Micro Area",0.4741,0.0232
310M200US13540,13540,"Bennington, VT Micro Area",0.4657,0.0196
310M200US13620,13620,"Berlin, NH-VT Micro Area",0.4302,0.0124
310M200US13660,13660,"Big Rapids, MI Micro Area",0.4401,0.016
310M200US13700,13700,"Big Spring, TX Micro Area",0.4532,0.0204
310M200US13720,13720,"Big Stone Gap, VA Micro Area",0.4676,0.0238
310M200US13740,13740,"Billings, MT Metro Area",0.4524,0.0095
310M200US13780,13780,"Binghamton, NY Metro Area",0.4461,0.0075
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",0.477,0.0043
310M200US13900,13900,"Bismarck, ND Metro Area",0.4271,0.0145
310M200US13940,13940,"Blackfoot, ID Micro Area",0.4028,0.0152
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",0.465,0.0089
310M200US14010,14010,"Bloomington, IL Metro Area",0.4553,0.0091
310M200US14020,14020,"Bloomington, IN Metro Area",0.4971,0.0106
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",0.4606,0.0144
310M200US14140,14140,"Bluefield, WV-VA Micro Area",0.467,0.0166
310M200US14180,14180,"Blytheville, AR Micro Area",0.4688,0.0121
310M200US14220,14220,"Bogalusa, LA Micro Area",0.4882,0.0226
310M200US14260,14260,"Boise City, ID Metro Area",0.4436,0.0066
310M200US14340,14340,"Boone, IA Micro Area",0.4099,0.0224
310M200US14380,14380,"Boone, NC Micro Area",0.531,0.0205
310M200US14420,14420,"Borger, TX Micro Area",0.4302,0.0147
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",0.4797,0.0018
310M200US14500,14500,"Boulder, CO Metro Area",0.4758,0.0072
310M200US14540,14540,"Bowling Green, KY Metro Area",0.4624,0.0145
310M200US14580,14580,"Bozeman, MT Micro Area",0.4517,0.0147
310M200US14620,14620,"Bradford, PA Micro Area",0.4177,0.0121
310M200US14660,14660,"Brainerd, MN Micro Area",0.4367,0.0098
310M200US14700,14700,"Branson, MO Micro Area",0.4245,0.0115
310M200US14720,14720,"Breckenridge, CO Micro Area",0.4359,0.0253
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",0.4237,0.0087
310M200US14780,14780,"Brenham, TX Micro Area",0.4275,0.0178
310M200US14820,14820,"Brevard, NC Micro Area",0.4293,0.0252
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0.5426,0.004
310M200US15020,15020,"Brookhaven, MS Micro Area",0.4529,0.0189
310M200US15060,15060,"Brookings, OR Micro Area",0.4181,0.0255
310M200US15100,15100,"Brookings, SD Micro Area",0.4506,0.0249
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",0.4942,0.0074
310M200US15220,15220,"Brownwood, TX Micro Area",0.4443,0.0166
310M200US15260,15260,"Brunswick, GA Metro Area",0.4792,0.0149
310M200US15340,15340,"Bucyrus, OH Micro Area",0.4162,0.0209
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",0.454,0.0044
310M200US15420,15420,"Burley, ID Micro Area",0.4151,0.0186
310M200US15460,15460,"Burlington, IA-IL Micro Area",0.4337,0.0133
310M200US15500,15500,"Burlington, NC Metro Area",0.4545,0.0107
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",0.4422,0.0091
310M200US15580,15580,"Butte-Silver Bow, MT Micro Area",0.4657,0.0171
310M200US15620,15620,"Cadillac, MI Micro Area",0.4208,0.0142
310M200US15660,15660,"Calhoun, GA Micro Area",0.4362,0.0186
310M200US15680,15680,"California-Lexington Park, MD Metro Area",0.3925,0.0133
310M200US15700,15700,"Cambridge, MD Micro Area",0.4649,0.02
310M200US15740,15740,"Cambridge, OH Micro Area",0.4362,0.0169
310M200US15780,15780,"Camden, AR Micro Area",0.4545,0.0136
310M200US15820,15820,"Campbellsville, KY Micro Area",0.4289,0.0171
310M200US15860,15860,"Ca–on City, CO Micro Area",0.4323,0.0132
310M200US15900,15900,"Canton, IL Micro Area",0.4055,0.0142
310M200US15940,15940,"Canton-Massillon, OH Metro Area",0.439,0.0064
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",0.4727,0.0065
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",0.458,0.0162
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",0.4858,0.0132
310M200US16100,16100,"Carlsbad-Artesia, NM Micro Area",0.4724,0.0442
310M200US16180,16180,"Carson City, NV Metro Area",0.4375,0.0174
310M200US16220,16220,"Casper, WY Metro Area",0.424,0.0121
310M200US16260,16260,"Cedar City, UT Micro Area",0.4304,0.0147
310M200US16300,16300,"Cedar Rapids, IA Metro Area",0.4212,0.0064
310M200US16340,16340,"Cedartown, GA Micro Area",0.4311,0.0239
310M200US16380,16380,"Celina, OH Micro Area",0.3913,0.0141
310M200US16460,16460,"Centralia, IL Micro Area",0.4336,0.0132
310M200US16500,16500,"Centralia, WA Micro Area",0.4136,0.011
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",0.3908,0.0086
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",0.485,0.0066
310M200US16620,16620,"Charleston, WV Metro Area",0.4679,0.0104
310M200US16660,16660,"Charleston-Mattoon, IL Micro Area",0.4754,0.0187
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",0.4646,0.0051
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.4754,0.0031
310M200US16820,16820,"Charlottesville, VA Metro Area",0.4796,0.0103
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",0.4644,0.006
310M200US16940,16940,"Cheyenne, WY Metro Area",0.4064,0.0102
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.476,0.0015
310M200US17020,17020,"Chico, CA Metro Area",0.4713,0.0086
310M200US17060,17060,"Chillicothe, OH Micro Area",0.439,0.0148
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",0.4619,0.0029
310M200US17200,17200,"Claremont-Lebanon, NH-VT Micro Area",0.4419,0.0073
310M200US17220,17220,"Clarksburg, WV Micro Area",0.4447,0.0104
310M200US17260,17260,"Clarksdale, MS Micro Area",0.523,0.0346
310M200US17300,17300,"Clarksville, TN-KY Metro Area",0.4311,0.0117
310M200US17340,17340,"Clearlake, CA Micro Area",0.4604,0.0142
310M200US17380,17380,"Cleveland, MS Micro Area",0.4959,0.0177
310M200US17420,17420,"Cleveland, TN Metro Area",0.4638,0.0173
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",0.475,0.0026
310M200US17500,17500,"Clewiston, FL Micro Area",0.4594,0.0277
310M200US17540,17540,"Clinton, IA Micro Area",0.4354,0.0144
310M200US17580,17580,"Clovis, NM Micro Area",0.465,0.0342
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",0.432,0.0168
310M200US17700,17700,"Coffeyville, KS Micro Area",0.4329,0.0171
310M200US17740,17740,"Coldwater, MI Micro Area",0.4325,0.014
310M200US17780,17780,"College Station-Bryan, TX Metro Area",0.513,0.0089
310M200US17820,17820,"Colorado Springs, CO Metro Area",0.4406,0.0058
310M200US17860,17860,"Columbia, MO Metro Area",0.4881,0.0108
310M200US17900,17900,"Columbia, SC Metro Area",0.4514,0.0044
310M200US17980,17980,"Columbus, GA-AL Metro Area",0.4796,0.0099
310M200US18020,18020,"Columbus, IN Metro Area",0.4292,0.0106
310M200US18060,18060,"Columbus, MS Micro Area",0.4696,0.0168
310M200US18100,18100,"Columbus, NE Micro Area",0.3921,0.0152
310M200US18140,18140,"Columbus, OH Metro Area",0.4589,0.003
310M200US18180,18180,"Concord, NH Micro Area",0.4159,0.009
310M200US18220,18220,"Connersville, IN Micro Area",0.4374,0.0245
310M200US18260,18260,"Cookeville, TN Micro Area",0.4993,0.0258
310M200US18300,18300,"Coos Bay, OR Micro Area",0.4662,0.0235
310M200US18380,18380,"Cordele, GA Micro Area",0.5032,0.0343
310M200US18420,18420,"Corinth, MS Micro Area",0.4539,0.0207
310M200US18460,18460,"Cornelia, GA Micro Area",0.4226,0.0153
310M200US18500,18500,"Corning, NY Micro Area",0.4374,0.0115
310M200US18580,18580,"Corpus Christi, TX Metro Area",0.4585,0.0088
310M200US18620,18620,"Corsicana, TX Micro Area",0.4481,0.0145
310M200US18660,18660,"Cortland, NY Micro Area",0.4219,0.0137
310M200US18700,18700,"Corvallis, OR Metro Area",0.4848,0.0104
310M200US18740,18740,"Coshocton, OH Micro Area",0.4134,0.014
310M200US18780,18780,"Craig, CO Micro Area",0.4097,0.0211
310M200US18820,18820,"Crawfordsville, IN Micro Area",0.3998,0.0163
310M200US18860,18860,"Crescent City, CA Micro Area",0.4621,0.0208
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.4462,0.0096
310M200US18900,18900,"Crossville, TN Micro Area",0.4336,0.0154
310M200US18980,18980,"Cullman, AL Micro Area",0.4582,0.0133
310M200US19000,19000,"Cullowhee, NC Micro Area",0.4739,0.0248
310M200US19060,19060,"Cumberland, MD-WV Metro Area",0.4612,0.0116
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",0.4669,0.0016
310M200US19140,19140,"Dalton, GA Metro Area",0.4514,0.0146
310M200US19180,19180,"Danville, IL Metro Area",0.4272,0.0102
310M200US19220,19220,"Danville, KY Micro Area",0.4619,0.0172
310M200US19260,19260,"Danville, VA Micro Area",0.4447,0.0098
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",0.4517,0.0093
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",0.4404,0.0058
310M200US19380,19380,"Dayton, OH Metro Area",0.4553,0.0039
310M200US19420,19420,"Dayton, TN Micro Area",0.4495,0.018
310M200US19460,19460,"Decatur, AL Metro Area",0.4447,0.0115
310M200US19500,19500,"Decatur, IL Metro Area",0.4637,0.0099
310M200US19540,19540,"Decatur, IN Micro Area",0.4196,0.0291
310M200US19580,19580,"Defiance, OH Micro Area",0.3971,0.0142
310M200US19620,19620,"Del Rio, TX Micro Area",0.4485,0.0236
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.4559,0.0069
310M200US19700,19700,"Deming, NM Micro Area",0.4547,0.0228
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",0.4569,0.003
310M200US19760,19760,"DeRidder, LA Micro Area",0.4515,0.0211
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",0.4351,0.0059
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",0.4686,0.0018
310M200US19860,19860,"Dickinson, ND Micro Area",0.4143,0.0174
310M200US19940,19940,"Dixon, IL Micro Area",0.4098,0.0133
310M200US19980,19980,"Dodge City, KS Micro Area",0.4187,0.0256
310M200US20020,20020,"Dothan, AL Metro Area",0.4661,0.0067
310M200US20060,20060,"Douglas, GA Micro Area",0.4737,0.022
310M200US20100,20100,"Dover, DE Metro Area",0.4087,0.0076
310M200US20140,20140,"Dublin, GA Micro Area",0.4975,0.0192
310M200US20180,20180,"DuBois, PA Micro Area",0.4196,0.0111
310M200US20220,20220,"Dubuque, IA Metro Area",0.4156,0.0112
310M200US20260,20260,"Duluth, MN-WI Metro Area",0.4368,0.0058
310M200US20300,20300,"Dumas, TX Micro Area",0.3905,0.0232
310M200US20340,20340,"Duncan, OK Micro Area",0.4508,0.0151
310M200US20380,20380,"Dunn, NC Micro Area",0.4235,0.0075
310M200US20420,20420,"Durango, CO Micro Area",0.4241,0.0148
310M200US20460,20460,"Durant, OK Micro Area",0.4587,0.0151
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",0.4928,0.006
310M200US20540,20540,"Dyersburg, TN Micro Area",0.4536,0.0273
310M200US20580,20580,"Eagle Pass, TX Micro Area",0.4737,0.0177
310M200US20660,20660,"Easton, MD Micro Area",0.4935,0.0166
310M200US20700,20700,"East Stroudsburg, PA Metro Area",0.4051,0.0098
310M200US20740,20740,"Eau Claire, WI Metro Area",0.4298,0.0079
310M200US20780,20780,"Edwards, CO Micro Area",0.454,0.0217
310M200US20820,20820,"Effingham, IL Micro Area",0.439,0.0174
310M200US20900,20900,"El Campo, TX Micro Area",0.4492,0.0176
310M200US20940,20940,"El Centro, CA Metro Area",0.459,0.0089
310M200US20980,20980,"El Dorado, AR Micro Area",0.4719,0.024
310M200US21020,21020,"Elizabeth City, NC Micro Area",0.446,0.019
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",0.4286,0.0121
310M200US21120,21120,"Elk City, OK Micro Area",0.4878,0.045
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",0.4146,0.0117
310M200US21180,21180,"Elkins, WV Micro Area",0.4409,0.0215
310M200US21220,21220,"Elko, NV Micro Area",0.392,0.0148
310M200US21260,21260,"Ellensburg, WA Micro Area",0.4514,0.0145
310M200US21300,21300,"Elmira, NY Metro Area",0.4566,0.0139
310M200US21340,21340,"El Paso, TX Metro Area",0.4679,0.0056
310M200US21380,21380,"Emporia, KS Micro Area",0.4361,0.0147
310M200US21420,21420,"Enid, OK Micro Area",0.4325,0.0166
310M200US21460,21460,"Enterprise, AL Micro Area",0.4474,0.0129
310M200US21500,21500,"Erie, PA Metro Area",0.4547,0.0084
310M200US21540,21540,"Escanaba, MI Micro Area",0.4212,0.0155
310M200US21580,21580,"Espa–ola, NM Micro Area",0.4564,0.0149
310M200US21660,21660,"Eugene, OR Metro Area",0.4667,0.008
310M200US21700,21700,"Eureka-Arcata-Fortuna, CA Micro Area",0.4576,0.0105
310M200US21740,21740,"Evanston, WY Micro Area",0.4273,0.034
310M200US21780,21780,"Evansville, IN-KY Metro Area",0.4488,0.0067
310M200US21820,21820,"Fairbanks, AK Metro Area",0.4013,0.0153
310M200US21840,21840,"Fairfield, IA Micro Area",0.5057,0.0447
310M200US21900,21900,"Fairmont, WV Micro Area",0.4369,0.0132
310M200US21980,21980,"Fallon, NV Micro Area",0.4086,0.0158
310M200US22020,22020,"Fargo, ND-MN Metro Area",0.4501,0.0083
310M200US22060,22060,"Faribault-Northfield, MN Micro Area",0.4227,0.0135
310M200US22100,22100,"Farmington, MO Micro Area",0.4383,0.0167
310M200US22140,22140,"Farmington, NM Metro Area",0.4583,0.0126
310M200US22180,22180,"Fayetteville, NC Metro Area",0.4351,0.0063
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",0.4663,0.0066
310M200US22260,22260,"Fergus Falls, MN Micro Area",0.4293,0.0086
310M200US22280,22280,"Fernley, NV Micro Area",0.3821,0.0154
310M200US22300,22300,"Findlay, OH Micro Area",0.4312,0.012
310M200US22340,22340,"Fitzgerald, GA Micro Area",0.4829,0.0327
310M200US22380,22380,"Flagstaff, AZ Metro Area",0.4701,0.0151
310M200US22420,22420,"Flint, MI Metro Area",0.4533,0.0059
310M200US22500,22500,"Florence, SC Metro Area",0.4724,0.0092
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",0.4529,0.0105
310M200US22540,22540,"Fond du Lac, WI Metro Area",0.4018,0.0122
310M200US22580,22580,"Forest City, NC Micro Area",0.4391,0.016
310M200US22620,22620,"Forrest City, AR Micro Area",0.4704,0.0183
310M200US22660,22660,"Fort Collins, CO Metro Area",0.4497,0.0079
310M200US22700,22700,"Fort Dodge, IA Micro Area",0.4518,0.016
310M200US22780,22780,"Fort Leonard Wood, MO Micro Area",0.3776,0.0143
310M200US22800,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",0.4147,0.0112
310M200US22820,22820,"Fort Morgan, CO Micro Area",0.4021,0.0173
310M200US22860,22860,"Fort Polk South, LA Micro Area",0.3996,0.0104
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",0.4702,0.0117
310M200US23060,23060,"Fort Wayne, IN Metro Area",0.4382,0.0068
310M200US23140,23140,"Frankfort, IN Micro Area",0.3865,0.0119
310M200US23180,23180,"Frankfort, KY Micro Area",0.4163,0.0111
310M200US23240,23240,"Fredericksburg, TX Micro Area",0.4709,0.024
310M200US23300,23300,"Freeport, IL Micro Area",0.4241,0.0142
310M200US23340,23340,"Fremont, NE Micro Area",0.4198,0.0155
310M200US23380,23380,"Fremont, OH Micro Area",0.4088,0.013
310M200US23420,23420,"Fresno, CA Metro Area",0.4726,0.0049
310M200US23460,23460,"Gadsden, AL Metro Area",0.4458,0.0103
310M200US23500,23500,"Gaffney, SC Micro Area",0.482,0.031
310M200US23540,23540,"Gainesville, FL Metro Area",0.514,0.0098
310M200US23580,23580,"Gainesville, GA Metro Area",0.4461,0.0103
310M200US23620,23620,"Gainesville, TX Micro Area",0.4403,0.019
310M200US23660,23660,"Galesburg, IL Micro Area",0.4327,0.0106
310M200US23700,23700,"Gallup, NM Micro Area",0.5057,0.0145
310M200US23780,23780,"Garden City, KS Micro Area",0.4137,0.023
310M200US23820,23820,"Gardnerville Ranchos, NV Micro Area",0.4579,0.025
310M200US23860,23860,"Georgetown, SC Micro Area",0.4852,0.0168
310M200US23900,23900,"Gettysburg, PA Metro Area",0.4032,0.0074
310M200US23940,23940,"Gillette, WY Micro Area",0.3763,0.0205
310M200US23980,23980,"Glasgow, KY Micro Area",0.4459,0.0131
310M200US24020,24020,"Glens Falls, NY Metro Area",0.4192,0.009
310M200US24060,24060,"Glenwood Springs, CO Micro Area",0.4625,0.0222
310M200US24100,24100,"Gloversville, NY Micro Area",0.4236,0.0135
310M200US24140,24140,"Goldsboro, NC Metro Area",0.4455,0.0103
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",0.4677,0.0103
310M200US24260,24260,"Grand Island, NE Metro Area",0.4274,0.0132
310M200US24300,24300,"Grand Junction, CO Metro Area",0.4559,0.0144
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",0.4345,0.0038
310M200US24380,24380,"Grants, NM Micro Area",0.4415,0.0196
310M200US24420,24420,"Grants Pass, OR Metro Area",0.4755,0.0248
310M200US24460,24460,"Great Bend, KS Micro Area",0.4729,0.0386
310M200US24500,24500,"Great Falls, MT Metro Area",0.4337,0.0137
310M200US24540,24540,"Greeley, CO Metro Area",0.4225,0.0071
310M200US24580,24580,"Green Bay, WI Metro Area",0.429,0.0075
310M200US24620,24620,"Greeneville, TN Micro Area",0.4401,0.016
310M200US24640,24640,"Greenfield Town, MA Micro Area",0.4257,0.0104
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",0.4649,0.0052
310M200US24700,24700,"Greensburg, IN Micro Area",0.3836,0.0207
310M200US24740,24740,"Greenville, MS Micro Area",0.5054,0.0128
310M200US24780,24780,"Greenville, NC Metro Area",0.4911,0.0163
310M200US24820,24820,"Greenville, OH Micro Area",0.4173,0.0167
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",0.4676,0.005
310M200US24900,24900,"Greenwood, MS Micro Area",0.5231,0.0185
310M200US24940,24940,"Greenwood, SC Micro Area",0.4648,0.0117
310M200US24980,24980,"Grenada, MS Micro Area",0.5411,0.0535
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",0.4475,0.0091
310M200US25100,25100,"Guymon, OK Micro Area",0.4248,0.045
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",0.4272,0.0116
310M200US25200,25200,"Hailey, ID Micro Area",0.454,0.0232
310M200US25220,25220,"Hammond, LA Metro Area",0.4626,0.0133
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",0.4479,0.0132
310M200US25300,25300,"Hannibal, MO Micro Area",0.4345,0.0224
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",0.4312,0.0055
310M200US25460,25460,"Harrison, AR Micro Area",0.4496,0.019
310M200US25500,25500,"Harrisonburg, VA Metro Area",0.464,0.0244
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",0.4592,0.0031
310M200US25580,25580,"Hastings, NE Micro Area",0.4409,0.0241
310M200US25620,25620,"Hattiesburg, MS Metro Area",0.4907,0.0131
310M200US25700,25700,"Hays, KS Micro Area",0.458,0.0245
310M200US25720,25720,"Heber, UT Micro Area",0.4057,0.0263
310M200US25740,25740,"Helena, MT Micro Area",0.4011,0.0108
310M200US25760,25760,"Helena-West Helena, AR Micro Area",0.5069,0.02
310M200US25780,25780,"Henderson, NC Micro Area",0.4663,0.0236
310M200US25820,25820,"Hereford, TX Micro Area",0.4162,0.022
310M200US25840,25840,"Hermiston-Pendleton, OR Micro Area",0.4154,0.0131
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",0.4481,0.0066
310M200US25880,25880,"Hillsdale, MI Micro Area",0.4205,0.011
310M200US25900,25900,"Hilo, HI Micro Area",0.4647,0.012
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",0.4639,0.0099
310M200US25980,25980,"Hinesville, GA Metro Area",0.413,0.0148
310M200US26020,26020,"Hobbs, NM Micro Area",0.4344,0.0147
310M200US26090,26090,"Holland, MI Micro Area",0.4188,0.0153
310M200US26140,26140,"Homosassa Springs, FL Metro Area",0.4511,0.0167
310M200US26220,26220,"Hood River, OR Micro Area",0.4091,0.0232
310M200US26300,26300,"Hot Springs, AR Metro Area",0.4763,0.0135
310M200US26340,26340,"Houghton, MI Micro Area",0.4524,0.0142
310M200US26380,26380,"Houma-Thibodaux, LA Metro Area",0.4504,0.0101
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",0.4826,0.0018
310M200US26460,26460,"Hudson, NY Micro Area",0.4527,0.0179
310M200US26500,26500,"Huntingdon, PA Micro Area",0.4057,0.0121
310M200US26540,26540,"Huntington, IN Micro Area",0.39,0.0146
310M200US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",0.4679,0.0089
310M200US26620,26620,"Huntsville, AL Metro Area",0.4685,0.007
310M200US26660,26660,"Huntsville, TX Micro Area",0.4825,0.023
310M200US26700,26700,"Huron, SD Micro Area",0.4355,0.0322
